cusno,cusnm,revenue,margin,orders,margin_rate
CUS_00647,[已隱蔽],11500.0,2890.0,3,0.25130434782608696
CUS_00427,[已隱蔽],5400.0,2880.0,2,0.5333333333333333
CUS_00256,[已隱蔽],5120.0,2861.4,2,0.5588671875
CUS_00246,[已隱蔽],4500.0,2850.0,2,0.6333333333333333
CUS_00493,[已隱蔽],3800.0,2840.0,1,0.7473684210526316
CUS_00271,[已隱蔽],4300.0,2835.0,1,0.6593023255813953
CUS_00077,[已隱蔽],6300.0,2820.0,4,0.44761904761904764
CUS_00203,[已隱蔽],4500.0,2810.0,1,0.6244444444444445
CUS_00527,[已隱蔽],4700.0,2800.0,1,0.5957446808510638
CUS_00329,[已隱蔽],4000.0,2800.0,1,0.7
CUS_00096,[已隱蔽],4000.0,2800.0,1,0.7
CUS_00052,[已隱蔽],4000.0,2780.0,2,0.695
CUS_00392,[已隱蔽],3500.0,2775.0,1,0.7928571428571428
CUS_00288,[已隱蔽],4350.0,2767.0,1,0.6360919540229885
CUS_00544,                                                            ,4000.0,2760.0,1,0.69
CUS_00347,[已隱蔽],5800.0,2750.0,2,0.47413793103448276
CUS_00224,[已隱蔽],6500.0,2730.0,1,0.42
CUS_00604,[已隱蔽],4455.0,2715.0,1,0.6094276094276094
CUS_00351,[已隱蔽],3450.0,2715.0,1,0.7869565217391304
CUS_00270,[已隱蔽],4799.0,2711.0,2,0.5649093561158575
CUS_00275,[已隱蔽],4200.0,2710.0,3,0.6452380952380953
CUS_00551,[已隱蔽],7500.0,2700.0,1,0.36
CUS_00300,[已隱蔽],4300.0,2655.0,1,0.6174418604651163
CUS_00524,[已隱蔽],3500.0,2650.0,1,0.7571428571428571
CUS_00640,[已隱蔽],3760.0,2645.0,1,0.7034574468085106
CUS_00010,[已隱蔽],8800.0,2630.0,1,0.2988636363636364
CUS_00718,[已隱蔽],6500.0,2630.0,4,0.4046153846153846
CUS_00354,[已隱蔽],4100.0,2625.0,2,0.6402439024390244
CUS_00464,[已隱蔽],3700.0,2610.0,1,0.7054054054054054
CUS_00657,[已隱蔽],5000.0,2600.0,1,0.52
CUS_00118,[已隱蔽],3850.0,2590.0,1,0.6727272727272727
CUS_00685,[已隱蔽],3300.0,2580.0,1,0.7818181818181819
CUS_00483,[已隱蔽],3550.0,2575.0,1,0.7253521126760564
CUS_00230,[已隱蔽],4850.0,2570.0,1,0.5298969072164949
CUS_00059,[已隱蔽],4000.0,2550.0,2,0.6375
CUS_00504,[已隱蔽],3000.0,2550.0,1,0.85
CUS_00213,[已隱蔽],4200.0,2540.0,1,0.6047619047619047
