cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00723,14650.0,2025-02-08,5,0.0,,14650.0,427,[已隱蔽],,31.0
CUS_00016,14650.0,2024-06-28,2,0.0,,14650.0,652,[已隱蔽],,31.0
CUS_00064,14200.0,2022-04-18,2,0.0,,14200.0,1454,[已隱蔽],,31.0
CUS_00165,14000.0,2022-04-07,1,0.0,,14000.0,1465,[已隱蔽],,31.0
CUS_00179,14000.0,2022-09-24,2,0.0,,14000.0,1295,[已隱蔽],,31.0
CUS_00309,13800.0,2024-10-29,4,0.0,,13800.0,529,[已隱蔽],,31.0
CUS_00448,13460.0,2025-01-22,3,0.0,,13460.0,444,[已隱蔽],,31.0
CUS_00239,13300.0,2021-03-20,2,0.0,,13300.0,1848,[已隱蔽],,31.0
CUS_00518,12800.0,2023-03-20,2,0.0,,12800.0,1118,[已隱蔽],,31.0
CUS_00530,12700.0,2024-05-14,4,0.0,,12700.0,697,[已隱蔽],,31.0
CUS_00002,12700.0,2024-08-10,1,0.0,,12700.0,609,[已隱蔽],,31.0
CUS_00514,12650.0,2022-10-28,3,0.0,,12650.0,1261,[已隱蔽],,31.0
CUS_00319,12500.0,2021-02-09,1,0.0,,12500.0,1887,[已隱蔽],,31.0
CUS_00436,12500.0,2022-07-27,2,0.0,,12500.0,1354,[已隱蔽],,31.0
CUS_00602,12450.0,2020-12-16,2,0.0,,12450.0,1942,[已隱蔽],,31.0
CUS_00437,12300.0,2020-08-19,1,0.0,,12300.0,2061,[已隱蔽],,31.0
CUS_00490,12300.0,2022-11-16,2,0.0,,12300.0,1242,[已隱蔽],,31.0
CUS_00424,12250.0,2021-09-18,3,0.0,,12250.0,1666,[已隱蔽],,31.0
CUS_00042,12100.0,2024-03-30,2,0.0,,12100.0,742,[已隱蔽],,31.0
CUS_00260,11900.0,2021-05-10,3,0.0,,11900.0,1797,[已隱蔽],,25.0
CUS_00191,11800.0,2022-02-09,1,0.0,,11800.0,1522,[已隱蔽],,31.0
CUS_00317,11750.0,2024-01-05,1,0.0,,11750.0,827,[已隱蔽],,31.0
CUS_00730,11700.0,2021-07-01,4,0.0,,11700.0,1745,[已隱蔽],,31.0
CUS_00192,11600.0,2021-05-03,1,0.0,,11600.0,1804,[已隱蔽],,31.0
CUS_00206,11500.0,2022-12-05,1,0.0,,11500.0,1223,[已隱蔽],,31.0
CUS_00266,11500.0,2021-06-26,1,0.0,,11500.0,1750,[已隱蔽],,31.0
CUS_00720,11200.0,2023-05-20,3,0.0,,11200.0,1057,[已隱蔽],,31.0
CUS_00541,11000.0,2024-11-21,1,0.0,,11000.0,506,[已隱蔽],,31.0
CUS_00277,11000.0,2023-11-23,1,0.0,,11000.0,870,[已隱蔽],,31.0
CUS_00476,11000.0,2021-04-23,1,0.0,,11000.0,1814,[已隱蔽],,31.0
CUS_00512,10950.0,2023-05-23,4,0.0,,10950.0,1054,[已隱蔽],,31.0
CUS_00391,10900.0,2023-09-25,3,0.0,,10900.0,929,[已隱蔽],,31.0
CUS_00331,10900.0,2023-06-17,4,0.0,,10900.0,1029,[已隱蔽],,31.0
CUS_00592,10800.0,2024-12-15,2,0.0,,10800.0,482,[已隱蔽],,31.0
CUS_00030,10800.0,2025-01-25,2,0.0,,10800.0,441,[已隱蔽],,31.0
CUS_00416,10800.0,2023-12-29,2,0.0,,10800.0,834,[已隱蔽],,31.0
CUS_00153,10800.0,2023-11-21,2,0.0,,10800.0,872,[已隱蔽],,31.0
CUS_00041,10750.0,2023-09-18,1,0.0,,10750.0,936,[已隱蔽],,31.0
CUS_00571,10700.0,2024-12-19,2,0.0,,10700.0,478,[已隱蔽],,31.0
