cusno,billed,last_sale,orders,received,last_recv,outstanding,days_since_last_sale,cusnm,area,settle
CUS_00339,4200.0,2022-01-12,1,0.0,,4200.0,1550,[已隱蔽],,31.0
CUS_00526,4200.0,2024-05-23,1,0.0,,4200.0,688,[已隱蔽],,31.0
CUS_00213,4200.0,2024-07-10,1,0.0,,4200.0,640,[已隱蔽],,31.0
CUS_00354,4100.0,2021-01-28,2,0.0,,4100.0,1899,[已隱蔽],,31.0
CUS_00052,4000.0,2023-07-06,2,0.0,,4000.0,1010,[已隱蔽],,31.0
CUS_00139,4000.0,2022-05-23,1,0.0,,4000.0,1419,[已隱蔽],,31.0
CUS_00686,4000.0,2023-03-03,2,0.0,,4000.0,1135,[已隱蔽],,31.0
CUS_00096,4000.0,2022-01-14,1,0.0,,4000.0,1548,[已隱蔽],,31.0
CUS_00101,4000.0,2023-03-30,1,0.0,,4000.0,1108,[已隱蔽],,31.0
CUS_00194,4000.0,2021-01-09,1,0.0,,4000.0,1918,[已隱蔽],,31.0
CUS_00475,4000.0,2024-03-08,1,0.0,,4000.0,764,[已隱蔽],,31.0
CUS_00329,4000.0,2021-10-27,1,0.0,,4000.0,1627,[已隱蔽],,31.0
CUS_00568,4000.0,2024-07-23,1,0.0,,4000.0,627,[已隱蔽],,31.0
CUS_00238,4000.0,2022-12-31,1,0.0,,4000.0,1197,[已隱蔽],,31.0
CUS_00320,3950.0,2025-03-29,1,0.0,,3950.0,378,[已隱蔽],,31.0
CUS_00459,3900.0,2023-04-26,1,0.0,,3900.0,1081,[已隱蔽],,31.0
CUS_00118,3850.0,2021-02-17,1,0.0,,3850.0,1879,[已隱蔽],,31.0
CUS_00373,3800.0,2024-07-23,1,0.0,,3800.0,627,[已隱蔽],,31.0
CUS_00399,3800.0,2023-10-19,1,0.0,,3800.0,905,[已隱蔽],,31.0
CUS_00282,3800.0,2025-02-10,3,0.0,,3800.0,425,[已隱蔽],,31.0
CUS_00204,3800.0,2024-08-13,2,0.0,,3800.0,606,[已隱蔽],,31.0
CUS_00493,3800.0,2022-09-10,1,0.0,,3800.0,1309,[已隱蔽],,31.0
