wno,wdate,odate,wfacno,sltax,invnoam,tax_a,slamt2_a,slamt3_a,facno,setday,mark,stockno,note1,toacc
[車牌]2541      ,2022-07-22 00:00:00,2022-07-22 00:00:00,DDFTRQ    ,外加  ,3850.0,0.05,193.0,4043.0,FAC_00027,202207.0,            ,GF ,,
BS4[電話]      ,2022-07-28 00:00:00,2022-07-28 00:00:00,CMFUG     ,外加  ,2900.0,0.05,145.0,3045.0,FAC_00019,202207.0,            ,GF ,,
BS[電話]      ,2022-08-15 00:00:00,2022-08-15 00:00:00,JG        ,外加  ,10143.0,0.05,507.0,10650.0,FAC_00036,202208.0,            ,GF ,,
BS[電話]      ,2022-08-15 00:00:00,2022-08-15 00:00:00,XUDRUVEN  ,外加  ,1820.0,0.05,91.0,1911.0,FAC_00063,202208.0,            ,GF ,,
[車牌]3554      ,2022-08-22 00:00:00,2022-08-22 00:00:00,ZF        ,外加  ,21120.0,0.05,1056.0,22176.0,FAC_00066,202208.0,            ,GF ,,
[車牌]8531      ,2022-09-13 00:00:00,2022-09-13 00:00:00,MFFT1C    ,外加  ,1670.0,0.05,84.0,1754.0,FAC_00040,202209.0,            ,GF ,,
DU[電話]      ,2022-09-15 00:00:00,2022-09-15 00:00:00,JG        ,外加  ,1667.0,0.05,83.0,1750.0,FAC_00036,202209.0,            ,GF ,,
BS4[電話]      ,2022-09-16 00:00:00,2022-09-16 00:00:00,CMFUG     ,外加  ,500.0,0.05,25.0,525.0,FAC_00019,202209.0,            ,GF ,,
[車牌]5406      ,2022-09-20 00:00:00,2022-09-20 00:00:00,ZF        ,外加  ,3040.0,0.05,152.0,3192.0,FAC_00066,202209.0,            ,GF ,,
DU4[電話]      ,2022-09-30 00:00:00,2022-09-30 00:00:00,CMFUG     ,外加  ,775.0,0.05,39.0,814.0,FAC_00019,202209.0,            ,GF ,,
DU[電話]      ,2022-10-15 00:00:00,2022-10-15 00:00:00,JG        ,外加  ,3857.0,0.05,193.0,4050.0,FAC_00036,202210.0,            ,GF ,,
[車牌]5447      ,2022-10-24 00:00:00,2022-10-24 00:00:00,ZF        ,外加  ,20330.0,0.05,1017.0,21347.0,FAC_00066,202210.0,            ,GF ,,
[車牌]2294      ,2022-10-27 00:00:00,2022-10-27 00:00:00,2UFT1C    ,外加  ,2342.0,0.05,117.0,2459.0,FAC_00010,202211.0,            ,GF ,,
DU4[電話]      ,2022-09-27 00:00:00,2022-10-27 00:00:00,CMFUG     ,外加  ,1600.0,0.05,80.0,1680.0,FAC_00019,202209.0,            ,GF ,,
FW[電話]      ,2022-11-15 00:00:00,2022-11-15 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202211.0,            ,GF ,,
[車牌]7908      ,2022-11-23 00:00:00,2022-11-23 00:00:00,ZF        ,外加  ,7105.0,0.05,355.0,7460.0,FAC_00066,202211.0,            ,GF ,,
[車牌]7751      ,2022-11-26 00:00:00,2022-11-26 00:00:00,MFFT1C    ,外加  ,7410.0,0.05,371.0,7781.0,FAC_00040,202212.0,            ,GF ,,
[車牌]4780      ,2022-11-22 00:00:00,2022-12-22 00:00:00,X2T       ,外加  ,,0.05,0.0,,FAC_00060,202211.0,            ,GF ,,
FW[電話]      ,2022-12-15 00:00:00,2022-12-15 00:00:00,JG        ,外加  ,6160.0,0.05,308.0,6468.0,FAC_00036,202212.0,            ,GF ,,
[車牌]7947      ,2022-12-21 00:00:00,2022-12-21 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202212.0,            ,GF ,,
FW4[電話]      ,2022-12-29 00:00:00,2022-12-29 00:00:00,CMFUG     ,外加  ,3500.0,0.05,175.0,3675.0,FAC_00019,202212.0,            ,GF ,,
HY[電話]      ,2023-01-10 00:00:00,2023-01-10 00:00:00,JG        ,外加  ,7327.0,0.05,366.0,7693.0,FAC_00036,202301.0,            ,GF ,,
[車牌]2817      ,2023-01-16 00:00:00,2023-01-16 00:00:00,MFFT1C    ,外加  ,3700.0,0.05,185.0,3885.0,FAC_00040,202301.0,            ,GF ,,
[車牌]2021      ,2023-01-24 00:00:00,2023-01-24 00:00:00,ZF        ,外加  ,26135.0,0.05,1307.0,27442.0,FAC_00066,202301.0,            ,GF ,,
[車牌]6515      ,2023-01-04 00:00:00,2023-01-04 00:00:00,DDFTRQ    ,外加  ,3667.0,0.05,183.0,3850.0,FAC_00027,202301.0,            ,GF ,,
[車牌]8307      ,2023-01-31 00:00:00,2023-01-31 00:00:00,2UFT1C    ,外加  ,1380.0,0.05,69.0,1449.0,FAC_00010,202302.0,            ,GF ,,
[車牌]2107      ,2023-02-20 00:00:00,2023-02-20 00:00:00,ZF        ,外加  ,4900.0,0.05,245.0,5145.0,FAC_00066,202302.0,            ,GF ,,
KY[電話]      ,2023-03-03 00:00:00,2023-03-03 00:00:00,XUDRUVEN  ,外加  ,2709.0,0.05,135.0,2844.0,FAC_00063,202303.0,            ,GF ,,
HY4[電話]      ,2023-02-25 00:00:00,2023-02-25 00:00:00,CMFUG     ,外加  ,6350.0,0.05,318.0,6668.0,FAC_00019,202302.0,            ,GF ,,
KY[電話]      ,2023-03-15 00:00:00,2023-03-15 00:00:00,JG        ,外加  ,6860.0,0.05,343.0,7203.0,FAC_00036,202303.0,            ,GF ,,
[車牌]2166      ,2023-03-20 00:00:00,2023-03-20 00:00:00,ZF        ,外加  ,19210.0,0.05,961.0,20171.0,FAC_00066,202303.0,            ,GF ,,
[車牌]9863      ,2023-03-23 00:00:00,2023-03-23 00:00:00,XC        ,外加  ,2095.0,0.05,105.0,2200.0,FAC_00061,202303.0,            ,GF ,,
KY4[電話]      ,2023-03-31 00:00:00,2023-03-31 00:00:00,CMFUG     ,外加  ,3450.0,0.05,173.0,3623.0,FAC_00019,202303.0,            ,GF ,,
[車牌]7705      ,2023-04-26 00:00:00,2023-04-26 00:00:00,2UFT1C    ,外加  ,210.0,0.05,11.0,221.0,FAC_00010,202305.0,            ,GF ,,
[車牌]991       ,2023-04-30 00:00:00,2023-04-30 00:00:00,CMFUG     ,外加  ,3700.0,0.05,185.0,3885.0,FAC_00019,202304.0,            ,GF ,,
[車牌]2295      ,2023-04-24 00:00:00,2023-04-24 00:00:00,ZF        ,外加  ,28585.0,0.05,1429.0,30014.0,FAC_00066,202304.0,            ,GF ,,
MY[電話]      ,2023-05-15 00:00:00,2023-05-15 00:00:00,JG        ,外加  ,4760.0,0.05,238.0,4998.0,FAC_00036,202305.0,            ,GF ,,
[車牌]4364      ,2023-05-19 00:00:00,2023-05-19 00:00:00,ZF        ,外加  ,11260.0,0.05,563.0,11823.0,FAC_00066,202305.0,            ,GF ,,
[車牌]8107      ,2023-05-22 00:00:00,2023-05-22 00:00:00,XC        ,外加  ,2762.0,0.05,138.0,2900.0,FAC_00061,202305.0,            ,GF ,,
[車牌]9952      ,2023-05-30 00:00:00,2023-05-30 00:00:00,2MFT1C    ,外加  ,11429.0,0.05,571.0,12000.0,FAC_00004,202306.0,            ,GF ,,
[車牌]1772      ,2023-05-19 00:00:00,2023-05-19 00:00:00,X2T       ,外加  ,8980.0,0.05,449.0,9429.0,FAC_00060,202305.0,            ,GF ,,
MY4[電話]      ,2023-05-31 00:00:00,2023-05-31 00:00:00,CMFUG     ,外加  ,11640.0,0.05,582.0,12222.0,FAC_00019,202305.0,            ,GF ,,
MY[電話]      ,2023-06-27 00:00:00,2023-06-27 00:00:00,XUDRUVEN  ,外加  ,,0.05,0.0,,FAC_00063,202306.0,            ,GF ,,
[車牌]7081      ,2023-06-28 00:00:00,2023-06-28 00:00:00,2UFT1C    ,外加  ,11895.0,0.05,595.0,12490.0,FAC_00010,202307.0,            ,GF ,,
[車牌]4507      ,2023-06-26 00:00:00,2023-06-26 00:00:00,ZF        ,外加  ,13465.0,0.05,673.0,14138.0,FAC_00066,202307.0,            ,GF ,,
PY[電話]      ,2023-07-15 00:00:00,2023-07-15 00:00:00,JG        ,外加  ,8680.0,0.05,434.0,9114.0,FAC_00036,202307.0,            ,GF ,,
[車牌]2264      ,2023-08-03 00:00:00,2023-08-03 00:00:00,MFFT1C    ,外加  ,5280.0,0.05,264.0,5544.0,FAC_00040,202308.0,進貨開出發票      ,GF ,,
PY4[電話]      ,2023-07-31 00:00:00,2023-07-31 00:00:00,CMFUG     ,外加  ,7350.0,0.05,368.0,7718.0,FAC_00019,202307.0,            ,GF ,,
[車牌]9817      ,2023-08-07 00:00:00,2023-07-25 00:00:00,ZF        ,外加  ,10210.0,0.05,511.0,10721.0,FAC_00066,202308.0,進貨開出發票      ,GF ,,
[車牌]9867      ,2023-08-23 00:00:00,2023-08-23 00:00:00,ZF        ,外加  ,10210.0,0.05,511.0,10721.0,FAC_00066,202308.0,            ,GF ,,
PY4[電話]      ,2023-08-31 00:00:00,2023-08-31 00:00:00,CMFUG     ,外加  ,2650.0,0.05,133.0,2783.0,FAC_00019,202308.0,            ,GF ,,
[車牌]5964      ,2023-08-04 00:00:00,2023-08-04 00:00:00,DDFTRQ    ,外加  ,4429.0,0.05,221.0,4650.0,FAC_00027,202308.0,            ,GF ,,
RY[電話]      ,2023-09-14 00:00:00,2023-09-14 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202309.0,            ,GF ,,
[車牌]5724      ,2023-09-24 00:00:00,2023-09-24 00:00:00,ZF        ,外加  ,17500.0,0.05,875.0,18375.0,FAC_00066,202309.0,            ,GF ,,
RY4[電話]      ,2023-09-29 00:00:00,2023-09-29 00:00:00,CMFUG     ,外加  ,600.0,0.05,30.0,630.0,FAC_00019,202309.0,            ,GF ,,
RY[電話]      ,2023-10-13 00:00:00,2023-10-13 00:00:00,JG        ,外加  ,6113.0,0.05,306.0,6419.0,FAC_00036,202310.0,            ,GF ,,
[車牌]5871      ,2023-10-24 00:00:00,2023-10-24 00:00:00,ZF        ,外加  ,0.0,0.05,0.0,0.0,FAC_00066,202310.0,            ,GF ,,
RY4[電話]      ,2023-11-03 00:00:00,2023-11-03 00:00:00,CMFUG     ,外加  ,2750.0,0.05,138.0,2888.0,FAC_00019,202311.0,            ,GF ,,
TY[電話]      ,2023-11-16 00:00:00,2023-11-16 00:00:00,JG        ,外加  ,9800.0,0.05,490.0,10290.0,FAC_00036,202311.0,            ,GF ,,
[車牌]8225      ,2023-11-23 00:00:00,2023-11-23 00:00:00,ZF        ,外加  ,3570.0,0.05,179.0,3749.0,FAC_00066,202311.0,            ,GF ,,
TY[電話]      ,2023-12-14 00:00:00,2023-12-14 00:00:00,JG        ,外加  ,0.0,0.05,0.0,0.0,FAC_00036,202312.0,            ,GF ,,
[車牌]8382      ,2023-12-27 00:00:00,2023-12-27 00:00:00,ZF        ,外加  ,25630.0,0.05,1282.0,26912.0,FAC_00066,202401.0,            ,GF ,,
[車牌]4240      ,2023-12-28 00:00:00,2023-12-28 00:00:00,2UFT1C    ,外加  ,2190.0,0.05,110.0,2300.0,FAC_00010,202401.0,            ,GF ,,
[車牌]4239      ,2023-12-28 00:00:00,2023-12-28 00:00:00,2UFT1C    ,外加  ,4743.0,0.05,237.0,4980.0,FAC_00010,202401.0,            ,GF ,,
VY[電話]      ,2024-01-15 00:00:00,2024-01-15 00:00:00,JG        ,外加  ,3333.0,0.05,167.0,3500.0,FAC_00036,202401.0,            ,GF ,,
